"DateTime";"Recebedor PJ";"Recebedor PF";"Pagador PJ";"Pagador PF";"Usuários PF";"Usuários PJ"
"2023-09-30";13071268;139972243;13277257;136758305;145634331;14201175
"2023-10-31";13327383;141265003;13536013;138129655;146861796;14462733
"2023-11-30";13571489;142527442;13782075;139549259;148123108;14708973
"2023-12-31";13788937;143801295;14009091;140846863;149307221;14927571
"2024-01-31";14029289;145101457;14241788;142258575;150596050;15170353
"2024-02-29";14270886;146190698;14483956;143425036;151646942;15416554
"2024-03-31";14534023;147362973;14751538;144658246;152768883;15687035
"2024-04-30";14824443;148587778;15049529;146045649;154064175;15987591
"2024-05-31";15094689;150036292;15320574;147379551;155472119;16263016
"2024-06-30";15354603;151426506;15578293;148620209;156804173;16524761
"2024-07-31";15631010;152676389;15854320;150024884;158104073;16806486
"2024-08-31";15939753;154039834;16177783;151451405;159502345;17140951
"2024-09-30";16265160;155091685;16602945;152579478;160528073;17570731
"2024-10-31";16577631;156132291;16954715;153691016;161540412;17922681
"2024-11-30";16835609;157122260;17231525;154743879;162482876;18197051
"2024-12-31";17063742;158164499;17469711;155778849;163416024;18430169
"2025-01-31";17502389;159128515;17858628;156658253;164291909;18864737
"2025-02-28";17822553;159937633;18196728;157438533;165037153;19198260
"2025-03-31";18113891;160798498;18499300;158280575;165837112;19500257
"2025-04-30";18401915;161644342;18796002;159206966;166702439;19798848
"2025-05-31";18693465;162510542;19091268;160053758;167531273;20100056
"2025-06-30";18969017;163270597;19373010;160795227;168237366;20385850
"2025-07-31";19267339;164013361;19671143;161543269;168923901;20696647
"2025-08-31";19567805;164738247;19972905;162266422;169591285;21008245