"DateTime";"mais de 60 anos";"até 19 anos";"entre 50 e 59 anos";"entre 40 e 49 anos";"entre 20 e 29 anos";"entre 30 e 39 anos"
"2023-09-30";0,04959;0,036475;0,101869;0,218613;0,286945;0,306508
"2023-10-31";0,043097;0,058477;0,09384;0,206542;0,2992;0,298845
"2023-11-30";0,042492;0,059358;0,093394;0,205866;0,300381;0,298509
"2023-12-31";0,048172;0,038685;0,101786;0,21819;0,288445;0,304723
"2024-01-31";0,049294;0,0395;0,10316;0,218753;0,284441;0,304852
"2024-02-29";0,049294;0,042259;0,103067;0,21803;0,28408;0,30327
"2024-03-31";0,048891;0,046073;0,102985;0,217475;0,283611;0,300965
"2024-04-30";0,049166;0,049205;0,103268;0,21726;0,281229;0,299872
"2024-05-31";0,050553;0,051224;0,104234;0,217612;0,278351;0,298026
"2024-06-30";0,050581;0,053854;0,104657;0,218024;0,276196;0,296688
"2024-07-31";0,050336;0,052431;0,105685;0,219105;0,275453;0,296991
"2024-08-31";0,049378;0,055836;0,105291;0,218582;0,275047;0,295866
"2024-09-30";0,049493;0,05813;0,105555;0,218065;0,274942;0,293816
"2024-10-31";0,050175;0,060147;0,106085;0,218316;0,272841;0,292436
"2024-11-30";0,049521;0,060185;0,105501;0,217995;0,274037;0,292761
"2024-12-31";0,048852;0,060213;0,105208;0,21754;0,275693;0,292494
"2025-01-31";0,051697;0,057712;0,108065;0,219767;0,27036;0,292399
"2025-02-28";0,052505;0,05795;0,108612;0,220108;0,268888;0,291936
"2025-03-31";0,05144;0,058704;0,108147;0,220004;0,269644;0,292062
"2025-04-30";0,052258;0,060438;0,108703;0,220522;0,266667;0,291411
"2025-05-31";0,054184;0,059807;0,110061;0,221557;0,264299;0,290091
"2025-06-30";0,054222;0,060727;0,110289;0,221799;0,26345;0,289513
"2025-07-31";0,054684;0,058029;0,111858;0,223719;0,261652;0,290057
"2025-08-31";0,053926;0,060569;0,111523;0,223324;0,261466;0,289192