"DateTime";"Pix Troco";"Pix Saque";"Total"
"2023-09-30";8599;898197;906796
"2023-10-31";8856;974281;983137
"2023-11-30";9209;1015044;1024253
"2023-12-31";12030;1316414;1328444
"2024-01-31";9621;1162803;1172424
"2024-02-29";9720;1147928;1157648
"2024-03-31";10563;1286043;1296606
"2024-04-30";10627;1248827;1259454
"2024-05-31";10721;1193609;1204330
"2024-06-30";11337;1296420;1307757
"2024-07-31";11626;1415892;1427518
"2024-08-31";9132;1452325;1461457
"2024-09-30";7814;1360562;1368376
"2024-10-31";7929;1485307;1493236
"2024-11-30";8179;1483883;1492062
"2024-12-31";9389;1771053;1780442
"2025-01-31";7601;1506738;1514339
"2025-02-28";7529;1490105;1497634
"2025-03-31";6849;1459358;1466207
"2025-04-30";8482;1543280;1551762
"2025-05-31";9766;1651486;1661252
"2025-06-30";9572;1600030;1609602
"2025-07-31";9302;1643768;1653070
"2025-08-31";9159;1599344;1608503