"DateTime";"Valor Fora do SPI";"Valor SPI";"Total"
"2023-09-30";250699,95;1277205,13;1527905,08
"2023-10-31";272415,33;1380506,54;1652921,87
"2023-11-30";305307,53;1422089,6;1727397,13
"2023-12-31";319708,39;1600127,61;1919836
"2024-01-31";321175,42;1483207,5;1804382,92
"2024-02-29";280674,81;1423260,74;1703935,55
"2024-03-31";329158,43;1591828,52;1920986,95
"2024-04-30";326314,04;1736300,65;2062614,68
"2024-05-31";332609,98;1770723,86;2103333,84
"2024-06-30";341965,39;1776382,13;2118347,52
"2024-07-31";382969,06;1954750,08;2337719,13
"2024-08-31";377641,97;1948182,35;2325824,32
"2024-09-30";375402,49;1937483,53;2312886,02
"2024-10-31";388622,07;2088462,98;2477085,05
"2024-11-30";375892,35;2081560,93;2457453,29
"2024-12-31";450406,12;2329179,21;2779585,34
"2025-01-31";392968,87;2077338,55;2470307,42
"2025-02-28";387697,58;2044475,89;2432173,47
"2025-03-31";398047,94;2172420,51;2570468,46
"2025-04-30";422593,89;2254213,81;2676807,7
"2025-05-31";442928,39;2379223,3;2822151,68
"2025-06-30";474350,43;2395480,75;2869831,18
"2025-07-31";496541,53;2562055,97;3058597,5
"2025-08-31";;2550273,07